Year,Pick,Tm,Player,Modified WS,Expected Pick Value,Delta WS
2008,38,CHA,Kyle Weaver,1.503,5.2843166667,-3.7813166667
2004,2,CHA,Emeka Okafor,53.5537777778,61.798640377,-8.2448625992
2004,45,CHA,Bernard Robinson,2,13.12512,-11.12512
2008,20,CHA,Alexis Ajinca,0.3,13.1228166667,-12.8228166667
2007,8,CHA,Brandan Wright,11.4,25.5308821429,-14.1308821429
2005,5,CHA,Raymond Felton,41.752,59.0318266667,-17.2798266667
2008,9,CHA,D.J. Augustin,26.2614,45.0857644444,-18.8243644444
2005,13,CHA,Sean May,2.6,34.6501532143,-32.0501532143
2006,3,CHA,Adam Morrison,-1.518,60.7732833333,-62.2912833333
1998,10,BOS,Paul Pierce,138.5,44.26679125,94.23320875
1997,3,BOS,Chauncey Billups,121.1,60.7732833333,60.3267166667
2004,15,BOS,Al Jefferson,64.0711111111,23.7691355556,40.3019755556
2001,10,BOS,Joe Johnson,67.5,44.26679125,23.23320875
2005,50,BOS,Ryan Gomes,22.33425,1.8817125,20.4525375
1991,24,BOS,Rick Fox,44.7,26.1274083333,18.5725916667
1990,19,BOS,Dee Brown,33.4,14.911735,18.488265
1996,6,BOS,Antoine Walker,38.1,23.838530119,14.261469881
2004,25,BOS,Tony Allen,27.4,13.38046,14.01954
2002,49,BOS,Darius Songaila,15.9,4.02,11.88
1992,21,BOS,Jon Barry,37.2,26.8868296429,10.3131703571
1995,14,BOS,Eric Williams,23.2,15.9775807143,7.2224192857
2008,60,BOS,Semih Erden,1.8036,0.30072,1.50288
2004,24,BOS,Delonte West,25.0716666667,26.1274083333,-1.0557416667
2009,58,BOS,Lester Hudson,0,1.325,-1.325
2005,53,BOS,Orien Greene,-0.7,1.132675,-1.832675
1994,36,BOS,Andrei Fetisov,0,3.29679,-3.29679
2003,20,BOS,Dahntay Jones,9.7,13.1228166667,-3.4228166667
2003,56,BOS,Brandon Hunter,0.7,4.2750333333,-3.5750333333
1999,55,BOS,Kris Clack,0,3.6973133333,-3.6973133333
1997,55,BOS,Ben Pepper,0,3.6973133333,-3.6973133333
2004,40,BOS,Justin Reed,0.5,4.5327125,-4.0327125
1996,38,BOS,Steve Hamer,0.2,5.2843166667,-5.0843166667
1995,33,BOS,Junior Burrough,-0.2,4.9527125,-5.1527125
2007,32,BOS,Gabe Pruitt,0.4,7.317525,-6.917525
1992,47,BOS,Darren Morningstar,0.4,9.7957542857,-9.3957542857
2006,7,BOS,Randy Foye,23.946,34.0098166667,-10.0638166667
2008,30,BOS,J.R. Giddens,0.1,14.1725333333,-14.0725333333
1997,6,BOS,Ron Mercer,9.4,23.838530119,-14.438530119
1993,19,BOS,Acie Earl,0.3,14.911735,-14.611735
2005,18,BOS,Gerald Green,5.1,20.8369475,-15.7369475
2003,16,BOS,Troy Bell,-0.2,16.8012475,-17.0012475
2001,11,BOS,Kedrick Brown,3,21.2969092857,-18.2969092857
2007,5,BOS,Jeff Green,40.0746666667,59.0318266667,-18.95716
2000,11,BOS,Jerome Moiso,2.1,21.2969092857,-19.1969092857
2001,21,BOS,Joseph Forte,-0.4,26.8868296429,-27.2868296429
1994,9,BOS,Eric Montross,8.5,45.0857644444,-36.5857644444
2001,3,ATL,Pau Gasol,110.6,60.7732833333,49.8267166667
1999,10,ATL,Jason Terry,93.9,44.26679125,49.63320875
2004,17,ATL,Josh Smith,58.2684444444,24.5110622222,33.7573822222
2007,3,ATL,Al Horford,81.9626666667,60.7732833333,21.1893833333
2009,19,ATL,Jeff Teague,29.9805,14.911735,15.068765
2003,21,ATL,Boris Diaw,39.5,26.8868296429,12.6131703571
1995,16,ATL,Alan Henderson,28,16.8012475,11.1987525
1997,50,ATL,Chris Crawford,6.5,1.8817125,4.6182875
2004,6,ATL,Josh Childress,26.2996666667,23.838530119,2.4611365476
1999,27,ATL,Jumaine Jones,15.1,12.8520675,2.2479325
2006,33,ATL,Solomon Jones,5.1,4.9527125,0.1472875
2005,59,ATL,Cenk Akyol,0,-0.0666666667,0.0666666667
1991,9,ATL,Stacey Augmon,43.8,45.0857644444,-1.2857644444
2002,36,ATL,David Andersen,1.5,3.29679,-1.79679
1990,36,ATL,Trevor Wilson,0.8,3.29679,-2.49679
2000,40,ATL,Hanno Mottola,0.9,4.5327125,-3.6327125
2001,33,ATL,Terence Morris,1,4.9527125,-3.9527125
2009,49,ATL,Sergiy Gladyr,0,4.02,-4.02
1997,49,ATL,Alain Digbeu,0,4.02,-4.02
2005,31,ATL,Salim Stoudamire,2.2,6.46287,-4.26287
1993,40,ATL,Rich Manning,-0.3,4.5327125,-4.8327125
1998,49,ATL,Cory Carr,-1.2,4.02,-5.22
1992,38,ATL,Elmer Bennett,-0.3,5.2843166667,-5.5843166667
2004,42,ATL,Viktor Sanikidze,0,6.3600035714,-6.3600035714
1995,42,ATL,Donnie Boyce,-0.3,6.3600035714,-6.6600035714
1999,20,ATL,Dion Glover,5.8,13.1228166667,-7.3228166667
2000,57,ATL,Scoonie Penn,0,7.7666666667,-7.7666666667
1990,41,ATL,Steve Bardo,-0.1,7.735175,-7.835175
1995,57,ATL,Cuonzo Martin,-0.1,7.7666666667,-7.8666666667
2004,34,ATL,Donta Smith,0.5,8.74594,-8.24594
1994,34,ATL,Gaylon Nickerson,0.1,8.74594,-8.64594
2004,37,ATL,Royal Ivey,4.6,13.372155,-8.772155
1997,22,ATL,Ed Gray,0.1,11.41665875,-11.31665875
1998,20,ATL,Roshown McLeod,0.2,13.1228166667,-12.9228166667
1995,45,ATL,Troy Brown,0,13.12512,-13.12512
2003,37,ATL,Travis Hansen,0.2,13.372155,-13.172155
1996,28,ATL,Priest Lauderdale,-0.8,13.18575,-13.98575
1991,30,ATL,Rodney Monroe,-0.2,14.1725333333,-14.3725333333
2000,6,ATL,DerMarr Johnson,6.4,23.838530119,-17.438530119
1992,10,ATL,Adam Keefe,24.9,44.26679125,-19.36679125
2007,11,ATL,Acie Law,1.6,21.2969092857,-19.6969092857
2005,2,ATL,Marvin Williams,39.718125,61.798640377,-22.080515377
1999,17,ATL,Cal Bowdler,1.8,24.5110622222,-22.7110622222
1991,15,ATL,Anthony Avent,0.3,23.7691355556,-23.4691355556
1993,15,ATL,Doug Edwards,0.2,23.7691355556,-23.5691355556
1990,10,ATL,Rumeal Robinson,5.2,44.26679125,-39.06679125
2006,5,ATL,Shelden Williams,9.9,59.0318266667,-49.1318266667
